15:07:37 INFO: openSocket failed
15:07:37 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
15:07:39 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
15:07:41 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
15:07:43 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
15:07:45 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
15:07:47 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
15:07:49 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
15:07:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
15:07:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
15:07:55 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
15:07:56 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
