09:23:59 INFO: openSocket failed
09:23:59 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.11, port-33445
09:24:00 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.12, port-33445
09:24:01 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.13, port-33445
09:24:03 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.14, port-33445
09:24:04 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.15, port-33445
09:24:05 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.16, port-33445
09:24:07 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.21, port-33445
09:24:09 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.22, port-33445
09:24:10 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.23, port-33445
09:24:11 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.24, port-33445
09:24:13 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.25, port-33445
09:24:14 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.26, port-33445
09:24:15 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.27, port-33445
09:24:16 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.28, port-33445
09:24:17 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.29, port-33445
09:24:18 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.30, port-33445
09:24:19 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.31, port-33445
09:24:20 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.32, port-33445
09:24:26 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.11, port-33445
09:24:27 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.12, port-33445
09:24:28 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.13, port-33445
09:24:29 INFO: openSocket failed
09:24:29 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.14, port-33445
09:24:30 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.15, port-33445
09:24:31 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.16, port-33445
09:24:32 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.21, port-33445
09:24:33 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.22, port-33445
09:24:35 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.23, port-33445
09:24:36 INFO: wait HeartBeat timeout, tvwall_ip-172.21.4.24, port-33445
