14:25:26 INFO: openSocket successful
14:25:26 INFO: daveNewConnection: 61882288, Mpi=2, nrack=0, slot=2
14:25:26 INFO: connect plc success£¬ip: 127.0.0.1, port: 102
14:26:38 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:39 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:40 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:41 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:42 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:46 TVWALL: Ip:10.212.58.29£¬port:33445, info:{"key_id":12,"command":"SCREEN_CUT","reset":1,"screen_id":1,"number":1,"mode":1}
14:26:47 TVWALL: Ip:10.212.58.29£¬port:33445, info:{"key_id":12,"command":"MAP_IPC","TextBar":0,"maps":[{"ipc_id":"3301061001000701","monitor_id":1,"stream_type":1}]}
14:26:48 INFO: screen switch error: can not find data group:1,screen id:2 mode:2
14:26:48 INFO: screen switch error: can not find data group:1,screen id:3 mode:2
14:26:48 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:48 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:49 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:49 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:50 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:54 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:55 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:56 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:57 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:58 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:27:02 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:27:03 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:27:04 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:27:05 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:27:06 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:27:07 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:27:08 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:27:09 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:27:10 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:27:11 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:27:12 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:27:14 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:27:15 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:27:16 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:27:17 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:27:18 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:27:19 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:27:20 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:27:20 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:27:21 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:27:21 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:27:22 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:27:22 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:27:23 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:27:23 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:27:24 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
