14:23:25 INFO: openSocket successful
14:23:25 INFO: daveNewConnection: 50085808, Mpi=2, nrack=0, slot=2
14:23:25 INFO: connect plc success£¬ip: 127.0.0.1, port: 102
14:23:26 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:23:27 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:23:28 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:23:29 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:23:30 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:23:31 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:23:32 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:23:33 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:23:34 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:23:35 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:23:36 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:23:42 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:23:43 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:23:44 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:23:45 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:23:46 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:23:47 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:23:48 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:23:49 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:23:49 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:23:50 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:23:50 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:23:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:23:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:23:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:23:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:23:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:23:54 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:23:55 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:23:56 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:23:57 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:23:58 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:23:58 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:23:59 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:23:59 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:24:00 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
