13:57:10 INFO: audio server set success
13:58:51 INFO: screen switch error: can not find data group:1,screen id:3 mode:1
13:58:53 INFO: screen switch error: can not find data group:1,screen id:4
13:58:53 INFO: screen switch error: can not find data group:1,screen id:5
13:58:54 INFO: screen switch error: can not find data group:1,screen id:6
13:58:54 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
13:58:55 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
13:58:55 INFO: opc server ZPMC.OPCServer.2 connect success!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.SPR20 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.SPR40 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.SPR45 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.SPR2020 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.SPR20 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.SPR40 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.SPR45 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.SPR2020 success!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode1 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode2 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode3 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode4 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode5 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode6 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode7 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode8 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode9 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode1 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode2 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode3 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode4 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode5 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode6 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode7 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode8 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode9 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode1 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode2 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode3 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode4 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode5 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode6 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode7 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode8 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTV_Mode9 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.ROS_SPR_20CMD failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.ROS_SPR_40CMD failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.ROS_SPR_45CMD failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.ROS_SPR_2020_FEET failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTVM1 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTVM2 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTVM4 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTVM3 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.CCTVM5 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTVM1 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTVM2 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTVM4 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTVM3 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.CCTVM5 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTVM1 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTVM2 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTVM4 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTVM3 failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.CCTVM5 failured!
13:58:55 INFO: add item LocalPLC_RMG.RMG1.TPOS success!
13:58:55 INFO: add item LocalPLC_RMG.RMG2.TPOS success!
13:58:55 INFO: add item LocalPLC_STS.STS1.ROS_HPOS failured!
13:58:55 INFO: add item RemotePLC.RCCS.RCS01.ArmgNumber failured!
13:58:55 INFO: add item RemotePLC.RCCS.RCS02.ArmgNumber failured!
13:58:55 INFO: add item RemotePLC.RCCS.RCS02.ArmgNumber failured!
13:58:55 INFO: add item RemotePLC.RCCS.Communication.Audio1_OnOff failured!
13:58:55 INFO: add item RemotePLC.RCCS.Communication.Audio2_OnOff failured!
13:58:55 INFO: add item LocalPLC_STS.STS1.Audio_OnOff failured!
